"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"1","SRP-dependent cotranslational protein targeting to membrane (GO:0006614)","54/90",1.44225184531846e-30,6.44542349672821e-27,0,0,13.2993062438057,913.813247722721,"RPL3;RPL32;RPL31;RPL34;RPL10A;SRP14;RPL9;RPL6;RPL7;RPS4X;RPL7A;RPS17;RPS16;RPL18A;RPS19;RPS18;RPL35;RPLP2;RPL37;SEC61B;RPS13;RPS12;RPL21;RPS7;RPS8;RPL23;RPL22;RPS6;RPL13A;RPS3A;SRP9;RPL37A;RPL24;RPL27;RPL26;RPL10;RPL12;RPL36A;RPS4Y1;RPS15A;RPL14;RPL13;RPS2;RPS27A;RPL19;RPL35A;RPL23A;RPS26;RPS25;RPS27;RPL27A;RPS20;RPS24;RPS23"
"2","cotranslational protein targeting to membrane (GO:0006613)","54/94",3.16695527022506e-29,7.0765615513179e-26,0,0,11.9666997026759,785.281125963984,"RPL3;ARL6IP1;RPL32;RPL31;RPL34;RPL10A;SRP14;RPL9;RPL6;RPL7;RPS4X;RPL7A;RPS17;RPS16;RPL18A;RPS19;RPS18;RPL35;RPLP2;RPL37;RPS13;RPS12;RPL21;RPS7;RPS8;RPL23;RPL22;RPS6;RPL13A;RPS3A;SRP9;RPL37A;RPL24;RPL27;RPL26;RPL10;RPL12;RPL36A;RPS4Y1;RPS15A;RPL14;RPL13;RPS2;RPS27A;RPL19;RPL35A;RPL23A;RPS26;RPS25;RPS27;RPL27A;RPS20;RPS24;RPS23"
"3","cytoplasmic translation (GO:0002181)","52/93",2.06581001218444e-27,3.07736831481741e-24,0,0,11.2306689205506,690.060310752017,"EIF4A2;RPL3;RPL32;RPL31;RPL34;RPL10A;RPL9;RPL6;RPL7;RPS4X;RPL7A;RPS17;RPS16;RPL18A;RPS19;RPS18;RPL35;RPL37;RPS13;RPS12;RPL21;RPS7;RPS8;RPL23;RPL22;RPS6;RPL13A;RPS3A;RPL37A;RPL24;RPL27;RPL26;RPL10;RPL12;RPL36A;RPS15A;RPL14;RPL13;RPS2;RPS27A;RPL19;RWDD1;TMA7;RPL35A;RPL23A;RPS26;RPS25;RPS27;RPL27A;RPS20;RPS24;RPS23"
"4","protein targeting to ER (GO:0045047)","54/103",1.50878547689719e-26,1.68569057406339e-23,0,0,9.76381950203273,580.516748286598,"RPL3;RPL32;RPL31;RPL34;RPL10A;SRP14;RPL9;RPL6;RPL7;RPS4X;RPL7A;RPS17;RPS16;RPL18A;RPS19;RPS18;RPL35;RPLP2;RPL37;RPS13;RPS12;RPL21;RPS7;RPS8;RPL23;RPL22;RPS6;RPL13A;RPS3A;SRP9;RPL37A;RPL24;CHMP4A;RPL27;RPL26;RPL10;RPL12;RPL36A;RPS4Y1;RPS15A;RPL14;RPL13;RPS2;RPS27A;RPL19;RPL35A;RPL23A;RPS26;RPS25;RPS27;RPL27A;RPS20;RPS24;RPS23"
"5","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)","56/113",7.34461496814043e-26,6.56461685852392e-23,0,0,8.70906432748538,504.021813811304,"RPL3;RPL32;RPL31;RPL34;RPL10A;RPL9;RPL6;RPL7;RPS4X;RPL7A;RPS17;RPS16;RPL18A;RPS19;PPP2R1A;RPS18;RPL35;RPLP2;RPL37;RPS13;RPS12;RPL21;RPS7;RPS8;RPL23;RPL22;RPS6;RPL13A;RPS3A;RPL37A;RPL24;RPL27;RPL26;RPL10;RPL12;RPL36A;RPS4Y1;RPS15A;RPL14;RPL13;RPS2;RPS27A;RPL19;RPL35A;UPF3A;RPL23A;RPS26;RPS25;RPS27;RPL27A;RNPS1;RPS20;SKIV2L;DCP1A;RPS24;RPS23"
"6","peptide biosynthetic process (GO:0043043)","62/162",4.70438106607509e-21,3.50397983071493e-18,0,0,5.49918407960199,257.393670250344,"PCSK1;RPL3;RPL32;RPL31;RPL34;MRPS12;RPL10A;RPL9;RPL6;RPL7;MRPL41;RPS4X;RPL7A;RPS17;RPS16;RPL18A;RPS19;RPS18;RPL35;RPLP2;RPL37;RPS13;RPS12;RPL21;RPS7;RPS8;RPL23;RPL22;RPS6;RPL13A;RPS3A;MRPS5;MRPS18C;MRPL51;EEF1A2;RPL37A;RPL24;RPL27;RPL26;RPL10;RPL12;RPL36A;RPS4Y1;RPS15A;RPL14;RPL13;RPS2;RPS27A;RPL19;GGT7;MRPL28;RPL35A;RPL23A;MRPL23;RPS26;RPS25;RPS27;RPL27A;RPS20;RSL24D1;RPS24;RPS23"
"7","translation (GO:0006412)","66/214",1.19046551132433e-16,7.60027195729779e-14,0,0,3.95260165449597,144.930112341404,"RPL3;RPL32;RPL31;RPL34;MRPS12;RPL10A;RPL9;RPL6;RPL7;MRPL41;RPS4X;TRMT112;RPL7A;RPS17;RPS16;RPL18A;RPS19;RPS18;RPL35;RPLP2;RPL37;RPS13;RPS12;RPL21;RPS7;RPS8;RPL23;RPL22;RPS6;RPL13A;RPS3A;MRPS5;MRPS18C;MRPL51;EEF1A2;RPL37A;RPL24;RPL27;RPL26;RPL10;RPL12;MRPS34;RPL36A;RPS4Y1;RPS15A;RPL14;RPL13;RPS2;RPS27A;RPL19;PTCD3;RWDD1;TMA7;MRPL28;RPL35A;RPL23A;MRPL23;EEF2;RPS26;RPS25;RPS27;RPL27A;RPS20;RSL24D1;RPS24;RPS23"
"8","gene expression (GO:0010467)","91/356",1.60126622392923e-16,8.94507344342469e-14,0,0,3.0617907860524,111.359066255673,"RPL3;RPL32;RPL31;RPL34;CELF2;MRPS12;RPL10A;RPL9;RPL6;RPL7;MRPL41;RBM3;RPS4X;RBM4;RPL7A;ALKBH5;RPS17;RPS16;RPL18A;RPS19;RPS18;RPL35;RPLP2;RPL37;RPS13;RBM5;RPS12;RBM6;MEF2A;NUP210;RPL21;RPS7;RPS8;RPL23;RPL22;RPS6;THOC1;RPL13A;RPS3A;THOC2;CDC40;MRPS5;MRPS18C;MRPL51;NUP50;EEF1A2;RPL37A;RPL24;RBMS1;RPL27;RPL26;PTMA;SLU7;POM121;RPL10;DDX25;RPL12;RPL36A;BAZ2A;U2AF1;RPS4Y1;RPS15A;POM121C;PABPN1;U2AF2;RPL14;POLR2E;RPL13;RPS2;RPS27A;RPL19;POLR2L;CPSF4;MRPL28;RPL35A;RPL23A;MRPL23;SORL1;RPS26;RPS25;RPS27;POLR3A;NOVA1;RPL27A;MPHOSPH10;RNPS1;RPS20;STUB1;RSL24D1;RPS24;RPS23"
"9","nuclear-transcribed mRNA catabolic process (GO:0000956)","56/171",1.30814445118451e-15,6.4956639470484e-13,0,0,4.30265700483092,147.452772857046,"RPL3;RPL32;RPL31;RPL34;RPL10A;RPL9;RPL6;RPL7;RPS4X;RPL7A;RPS17;RPS16;RPL18A;RPS19;PPP2R1A;RPS18;RPL35;RPLP2;RPL37;RPS13;RPS12;RPL21;RPS7;RPS8;RPL23;RPL22;RPS6;RPL13A;RPS3A;RPL37A;RPL24;RPL27;RPL26;RPL10;RPL12;RPL36A;RPS4Y1;RPS15A;RPL14;RPL13;RPS2;RPS27A;RPL19;RPL35A;UPF3A;RPL23A;PAN2;RPS26;RPS25;RPS27;RPL27A;RNPS1;RPS20;DCP1A;RPS24;RPS23"
"10","rRNA metabolic process (GO:0016072)","52/162",3.38438772023847e-14,1.51248287217457e-11,0,0,4.16982898289829,129.335661837891,"RPL3;RPL32;RPL31;RPL34;PWP2;RPL10A;RPL9;RPL6;WDR43;RPL7;RPL7A;RPS17;RPS16;RPL18A;RPS19;RPL35;RPLP2;RPL37;RPL21;RPS7;IMP3;RPL23;RPL22;RPS6;RPL13A;EBNA1BP2;RPL37A;RPL24;RPL27;RPL26;MAPT;RPL10;RPL12;RPL36A;SNU13;NOL6;RRP7A;RPL14;RPL13;RPS2;RPL19;NOP56;RPL35A;RPL23A;WDR55;RPS25;RPS27;LAS1L;RPL27A;MPHOSPH10;ESF1;RPS24"
